epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,480.951,1.67184,3.46425,0.96508,0.31366,0.07378,0.03563,0.02223,1.55742,2.23481,0.98474,0.00999592,0.00333197,0.00999592,0.00333197,0.00999592,0.00333197,0.00999592,0.00333197
2,937.102,1.66745,2.55181,0.95438,0.32191,0.12265,0.06256,0.04182,1.54497,2.03747,0.9718,0.0196,0.00653333,0.0196,0.00653333,0.0196,0.00653333,0.0196,0.00653333
3,1382.52,1.6946,2.17067,0.96552,0.36548,0.1324,0.07061,0.04768,1.54015,2.01473,1.00109,0.0288081,0.00960269,0.0288081,0.00960269,0.0288081,0.00960269,0.0288081,0.00960269
4,1838.51,1.65804,2.00716,0.96385,0.30612,0.14524,0.09063,0.06455,1.43627,1.83826,0.96206,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2279.84,1.57822,1.88361,0.94246,0.34621,0.13809,0.10259,0.07225,1.38492,1.73563,0.94503,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2742.21,1.54351,1.81989,0.92866,0.24,0.17313,0.1171,0.08373,1.36333,1.6919,0.93894,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3192.48,1.5039,1.76015,0.92013,0.34685,0.17601,0.12385,0.08862,1.33404,1.66559,0.92621,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3661.71,1.48687,1.72488,0.91472,0.21905,0.19696,0.13133,0.09467,1.31101,1.62001,0.91978,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4125.38,1.46121,1.68995,0.91134,0.28216,0.19854,0.14625,0.10778,1.29172,1.573,0.91278,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4584.07,1.44571,1.65884,0.90567,0.28448,0.19814,0.15315,0.11347,1.27604,1.54933,0.90864,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,5029.7,1.44294,1.641,0.90175,0.2936,0.21136,0.15887,0.11719,1.25756,1.51354,0.9073,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,5484.75,1.42457,1.61361,0.89992,0.28094,0.21496,0.1653,0.12231,1.25124,1.49844,0.90028,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5937.28,1.41838,1.60212,0.89682,0.31456,0.22533,0.17729,0.1323,1.2402,1.48228,0.8982,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,6403.97,1.40158,1.58073,0.89508,0.31137,0.23193,0.1839,0.13737,1.23048,1.44829,0.89639,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,6850.41,1.4008,1.56669,0.8921,0.34782,0.22002,0.18531,0.13912,1.22604,1.44227,0.89566,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
