epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,416.466,1.74124,3.23763,0.91815,0.12993,0.16311,0.0802,0.05112,1.62733,1.90775,0.89849,0.00999561,0.00333187,0.00999561,0.00333187,0.00999561,0.00333187,0.00999561,0.00333187
2,766.011,1.73032,2.27766,0.90982,0.34583,0.16566,0.10498,0.0697,1.61024,1.81575,0.89986,0.0195997,0.00653323,0.0195997,0.00653323,0.0195997,0.00653323,0.0195997,0.00653323
3,1090.1,1.74187,1.98087,0.9202,0.29212,0.19451,0.12502,0.08398,1.58814,1.75089,0.90251,0.0288078,0.0096026,0.0288078,0.0096026,0.0288078,0.0096026,0.0288078,0.0096026
4,1413.59,1.71189,1.8818,0.91864,0.27202,0.21061,0.15537,0.10759,1.51107,1.64199,0.89532,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1739.38,1.62569,1.76228,0.90055,0.34433,0.22245,0.1741,0.12197,1.45434,1.56446,0.88133,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2072.56,1.58172,1.69107,0.88854,0.29557,0.22665,0.18894,0.13233,1.43321,1.52196,0.87522,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,337.127,1.54735,1.64247,0.88463,0.29905,0.23688,0.19626,0.13918,1.39629,1.46799,0.86552,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,316.141,1.49605,1.55556,0.87163,0.32761,0.24475,0.21165,0.15102,1.38351,1.43572,0.86205,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,623.647,1.51858,1.59915,0.87676,0.35138,0.25468,0.22462,0.15948,1.36158,1.41156,0.86002,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,939.306,1.49956,1.57095,0.87307,0.37527,0.25786,0.23337,0.16713,1.33923,1.3831,0.85499,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1247.85,1.49279,1.55682,0.87046,0.36071,0.26932,0.23675,0.16942,1.32829,1.36527,0.85363,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1557.38,1.47182,1.52913,0.86596,0.35437,0.2783,0.24752,0.17774,1.31304,1.3436,0.85111,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1863.48,1.45723,1.5032,0.86239,0.37946,0.27172,0.25372,0.18458,1.30253,1.32943,0.84772,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2167.92,1.46294,1.50497,0.86389,0.38393,0.28196,0.26069,0.19019,1.29743,1.31157,0.84777,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2482.06,1.45099,1.48474,0.86093,0.39272,0.29123,0.26526,0.19338,1.28942,1.29872,0.84487,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2786.75,1.4473,1.48361,0.85945,0.40075,0.288,0.26854,0.19519,1.28105,1.28756,0.84483,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3096.78,1.4379,1.46253,0.86053,0.39545,0.30218,0.2734,0.19866,1.27628,1.27876,0.84326,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3408.44,1.4257,1.44837,0.85679,0.39537,0.3004,0.27762,0.20248,1.26939,1.26814,0.84208,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3719.62,1.42294,1.44243,0.85654,0.40384,0.29724,0.28233,0.20642,1.26381,1.26043,0.84169,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4026.62,1.42112,1.43549,0.85655,0.41515,0.29294,0.28611,0.20885,1.25922,1.25194,0.8404,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4331.07,1.41074,1.42799,0.85314,0.41383,0.30159,0.28837,0.21119,1.25581,1.24694,0.83984,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4636.23,1.40876,1.41416,0.85375,0.40654,0.30861,0.29164,0.21347,1.25205,1.24188,0.83894,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4941.27,1.40218,1.4091,0.85193,0.41232,0.31164,0.29346,0.21461,1.24873,1.23634,0.8379,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,5245.99,1.40244,1.40592,0.85128,0.41004,0.31839,0.29609,0.21632,1.24545,1.23225,0.83744,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,5548.94,1.39087,1.38693,0.84922,0.40282,0.32037,0.29794,0.21779,1.24257,1.22766,0.83695,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,5857.26,1.38239,1.38296,0.84833,0.40331,0.32039,0.2998,0.21965,1.24066,1.22395,0.83658,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,6162.51,1.38475,1.37502,0.84898,0.40938,0.32214,0.30153,0.22072,1.23893,1.21983,0.83641,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,6469.43,1.37527,1.36606,0.84682,0.41174,0.32488,0.30334,0.22214,1.2374,1.21684,0.83603,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,6775.49,1.37039,1.36024,0.84614,0.41583,0.32183,0.305,0.22314,1.23624,1.21424,0.83567,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,7081.1,1.36085,1.34394,0.8456,0.41922,0.32062,0.30594,0.22386,1.23512,1.21154,0.8353,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,7387.96,1.36353,1.34075,0.84531,0.42349,0.32002,0.3077,0.22522,1.23403,1.20831,0.83493,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,7693.6,1.35682,1.3374,0.84331,0.42699,0.32148,0.30876,0.22605,1.23272,1.20569,0.83456,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8001.23,1.35601,1.327,0.84368,0.42922,0.32407,0.30978,0.22688,1.23188,1.20378,0.83439,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,8307.93,1.34862,1.31679,0.84232,0.42926,0.32447,0.31125,0.22781,1.23109,1.20184,0.83435,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,8612.63,1.34569,1.3124,0.84022,0.43324,0.32386,0.31284,0.2289,1.23007,1.19972,0.83394,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,8920.97,1.33927,1.30291,0.83982,0.43556,0.32321,0.31417,0.23016,1.2291,1.19796,0.83368,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9226.99,1.33022,1.29005,0.83968,0.44155,0.3238,0.31523,0.23101,1.2277,1.19584,0.83329,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,9534.5,1.33137,1.28882,0.83883,0.43479,0.32974,0.31641,0.23201,1.22701,1.19431,0.83295,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,9847.39,1.32435,1.27948,0.83724,0.43334,0.32974,0.31751,0.2327,1.2254,1.1925,0.83274,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,10152.9,1.31418,1.27377,0.83655,0.43129,0.33332,0.31842,0.2335,1.22434,1.19066,0.83241,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,10456.6,1.27248,1.23061,0.83694,0.43643,0.33144,0.32003,0.23469,1.22345,1.18898,0.8323,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,10759.1,1.26508,1.21693,0.835,0.43918,0.33213,0.32095,0.23562,1.22266,1.18743,0.83222,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,11060.4,1.26156,1.21184,0.83599,0.44,0.33316,0.32171,0.23597,1.22243,1.18603,0.8321,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,11360.4,1.25233,1.20005,0.83494,0.44396,0.33332,0.32243,0.23677,1.22192,1.18493,0.83202,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,11659.2,1.24291,1.18496,0.83452,0.44658,0.33205,0.32358,0.23745,1.22057,1.18318,0.83187,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,11959.6,1.24057,1.1755,0.83078,0.44968,0.33268,0.32474,0.23862,1.21982,1.18201,0.83174,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,12258.9,1.23521,1.16544,0.83131,0.45497,0.33159,0.32548,0.23936,1.2194,1.18049,0.83157,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,12559,1.23029,1.15544,0.82901,0.44757,0.33809,0.32643,0.24024,1.21849,1.17926,0.83143,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,12858.2,1.22445,1.14696,0.82866,0.44972,0.33958,0.32709,0.24077,1.21786,1.17848,0.83123,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,13157.3,1.21951,1.13575,0.82781,0.45655,0.3381,0.32804,0.24144,1.2174,1.17758,0.83119,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
